word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.007455482002114877,0.016286821002722718,0.5020931620092597,1.3721804340020753,space,1.3353909050056245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
niece,blue,1,0,1,1,0,b,0,0,0,3,,,,,,,,,,,,,1.3950607780134305,,,,,,,,,1.382461418004823,1.883361975007574,1.883361975007574,4.5859973700135015,b,2.686557378998259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
female,pink,1,1,0,1,0,p,0,1,1,0,,,,,,,,,,,,,4.59985466299986,,,,,,,,,4.586875341003179,5.101248730003135,5.101248730003135,5.53775237800437,p,0.4174517919891514,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
husband,pink,1,0,1,1,0,b,0,2,2,2,,,,,,,,,,,,,5.552379685002961,,,,,,,,,5.53869384599966,6.050087647003238,6.050087647003238,6.603253531007795,p,0.5486769510025624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
boy,blue,1,1,0,1,0,b,0,3,3,1,,,,,,,,,,,,,6.62032675500086,,,,,,,,,6.603994288001559,7.117368600011105,7.117368600011105,7.537466966008651,b,0.40867390600033104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
mother,pink,1,1,0,1,0,p,0,4,4,4,,,,,,,,,,,,,7.553992614004528,,,,,,,,,7.537871226013522,8.051779016008368,8.051779016008368,8.437803588007228,p,0.3668452810088638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.438454083006945,8.450207315006992,8.950741899010609,9.901703635012382,space,1.4469414420018438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
father,blue,0,1,0,1,0,b,,,,,0,0,0,9,,,,,,,,,9.930329869006528,,,,,,,,,,,,,,,,,,,,,,,9.919875288003823,10.417279224013328,10.417279224013328,11.469285760002094,b,1,1.0433884770027362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
damsel,blue,0,0,1,1,0,b,,,,,0,1,1,11,,,,,,,,,11.48720620899985,,,,,,,,,,,,,,,,,,,,,,,11.470546695010853,11.983564215013757,11.983564215013757,12.354414244007785,b,1,0.3615474580001319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
grandma,blue,0,0,1,1,0,b,,,,,0,2,2,15,,,,,,,,,12.37027360200591,,,,,,,,,,,,,,,,,,,,,,,12.355186552013038,12.866618662010296,12.866618662010296,13.20350530500582,b,1,0.3244498249987373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517189,001,2024-05-11_12h40.17.555,stroop experiment,2024.1.4,None,2024-05-11 12h40.26.420018 -0400,
