word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
grandma,blue,0,0,1,1,0,b,,,,,0,17,17,15,,,,,,,,,140.63515599499806,,,,,,,,,,,,,,,,,,,,,,,140.62122696499864,141.13514002600277,141.13514002600277,141.78627996399882,b,1,0.6388398859999143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
girl,pink,0,1,0,1,0,p,,,,,0,18,18,3,,,,,,,,,141.8002636290039,,,,,,,,,,,,,,,,,,,,,,,141.78677246299776,142.30245818699768,142.30245818699768,143.0035796470038,p,1,0.6929109150005388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
dad,pink,0,0,1,1,0,p,,,,,0,19,19,14,,,,,,,,,143.01825521200226,,,,,,,,,,,,,,,,,,,,,,,143.00448621300166,143.51864082900283,143.51864082900283,144.16956820300402,p,1,0.6385475600036443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.1701333000019,144.18465129099786,144.68486047800252,158.15422514300008,space,13.963035328000842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.1542664880035,158.16749664000235,158.66716329799965,203.8692108230025,space,45.69098983400181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
female,blue,1,0,1,0,1,f,,,,,,,,,0,0,0,2,,,,,203.89875184799894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.88666459399974,204.38412950000202,204.38412950000202,206.18492796300416,f,1.7860969819957973,None,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
aunt,blue,1,0,1,0,1,f,,,,,,,,,0,1,1,0,,,,,206.20058466499904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.18567102200177,206.69996864900168,206.69996864900168,207.68642151400127,f,0.9825394180006697,None,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
dad,pink,1,0,1,0,1,m,,,,,,,,,0,2,2,1,,,,,207.7000774390035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.68692738700338,208.19996395100316,208.19996395100316,209.48872961899906,m,1.2715538530028425,None,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
mother,pink,1,1,0,0,1,f,,,,,,,,,0,3,3,3,,,,,209.50228320399765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.48945439799718,210.00023056400096,210.00023056400096,211.33913384500192,f,1.319549524996546,None,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
man,blue,1,1,0,0,1,m,,,,,,,,,0,4,4,4,,,,,211.35456749700097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.3400383449989,211.85081952199835,211.85081952199835,212.65419508099876,m,0.7990998159948504,None,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.65474948000337,212.66643278500123,213.16665985999862,220.81952668300073,space,8.135980167004163,None,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
sister,pink,0,1,0,0,1,f,,,,,,,,,,,,,0,0,0,8,220.8539522639985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.8436835809989,221.33336693300225,221.33336693300225,222.73556811099843,f,1,1.3939614510018146,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
boys,pink,0,0,1,0,1,m,,,,,,,,,,,,,0,1,1,15,222.7493349350043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.73616752600356,223.25001127100404,223.25001127100404,224.1210054960029,m,1,0.8525636569975177,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
man,pink,0,0,1,0,1,m,,,,,,,,,,,,,0,2,2,11,224.13602645300125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.1221202300003,224.6328971250041,224.6328971250041,225.28604101000383,m,1,0.634691617997305,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
lady,blue,0,0,1,0,1,f,,,,,,,,,,,,,0,3,3,19,225.30006110900285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.28696094000043,225.80124555400107,225.80124555400107,226.63627290399745,f,1,0.832125751003332,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
wife,blue,0,0,1,0,1,f,,,,,,,,,,,,,0,4,4,10,226.64911034100078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.63676467299956,227.14957039400178,227.14957039400178,227.93645426799776,f,1,0.7841247989999829,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
father,blue,0,1,0,0,1,m,,,,,,,,,,,,,0,5,5,13,227.95021834199724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.93718289700337,228.44981698899937,228.44981698899937,229.26892514499923,m,1,0.8108812079954077,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
guy,blue,0,1,0,0,1,m,,,,,,,,,,,,,0,6,6,3,229.28388228000404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.2697266440009,229.78364800599957,229.78364800599957,230.53658486699715,m,1,0.735003185000096,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
girls,pink,0,1,0,0,1,f,,,,,,,,,,,,,0,7,7,12,230.55181728600292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.53759473600076,231.0498508640012,231.0498508640012,231.83408643300208,f,1,0.767860849002318,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
handsome,blue,0,1,0,0,1,m,,,,,,,,,,,,,0,8,8,16,231.84947187000216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.8345823089985,232.3494657159972,232.3494657159972,233.15205423899897,m,1,0.7996802220004611,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
daughter,blue,0,0,1,0,1,f,,,,,,,,,,,,,0,9,9,14,233.16612720800185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.15264288899925,233.6663339049992,233.6663339049992,234.6508969380011,f,1,0.974061476001225,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
dad,pink,0,0,1,0,1,m,,,,,,,,,,,,,0,10,10,2,234.66582102399843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.65131561899761,235.16664886400395,235.16664886400395,236.0683989770041,m,1,0.8910012479973375,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
damsel,pink,0,1,0,0,1,f,,,,,,,,,,,,,0,11,11,4,236.08256628800154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0689154560023,236.56659801200294,236.56659801200294,237.48453412699746,f,1,0.9086363859969424,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
man,blue,0,1,0,0,1,m,,,,,,,,,,,,,0,12,12,9,237.49935988200014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.48495719100174,237.9843853370039,237.9843853370039,238.6337174750006,m,1,0.6335223489950295,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
aunt,pink,0,1,0,0,1,f,,,,,,,,,,,,,0,13,13,0,238.64956242100016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.6344208340015,239.1328184860031,239.1328184860031,239.90223043600417,f,1,0.7540968579996843,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
uncle,blue,0,1,0,0,1,m,,,,,,,,,,,,,0,14,14,1,239.91865040900302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.90323522200197,240.41628926699923,240.41628926699923,241.4030710340012,m,1,0.9812982919975184,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
mother,blue,0,0,1,0,1,f,,,,,,,,,,,,,0,15,15,5,241.41718469499756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.40388912599883,241.91636474300321,241.91636474300321,242.65196284400008,f,1,0.7264479709992884,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
female,blue,0,0,1,0,1,f,,,,,,,,,,,,,0,16,16,6,242.66715203499916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.65277278400026,243.16614738600038,243.16614738600038,244.28386741199938,f,1,1.1017633810042753,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
gentleman,pink,0,0,1,0,1,m,,,,,,,,,,,,,0,17,17,18,244.29899037600262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.28456112200365,244.78399836400058,244.78399836400058,246.31814371300425,m,1,1.5186520439965534,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
nephew,pink,0,0,1,0,1,m,,,,,,,,,,,,,0,18,18,7,246.33196636399953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.3186577430024,246.8325002069978,246.8325002069978,247.78539862199978,m,1,0.9397613440014538,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
madam,pink,0,1,0,0,1,f,,,,,,,,,,,,,0,19,19,17,247.79977688300278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.78610930099967,248.30094665499928,248.30094665499928,249.0175681010005,f,1,0.7093381459999364,None,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.0179098380031,249.03252817400062,249.03252817400062,250.0338381190013,263.7542165499981,space,14.718163539997477,None,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
