word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,text_4.stopped,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.008917067003494594,0.018508669003495015,0.5145022560027428,105.75559354600409,space,105.7028505729977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
boy,blue,1,1,0,1,0,b,0,0,0,1,,,,,,,,,,,,,105.7925819009979,,,,,,,,,105.77521336099744,106.26791274000425,106.26791274000425,107.52115814400167,b,1.2365234430035343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
niece,blue,1,0,1,1,0,b,0,1,1,3,,,,,,,,,,,,,107.53696743099863,,,,,,,,,107.5222447030028,108.03466436800227,108.03466436800227,109.8053162560027,b,1.7514808229971095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
female,pink,1,1,0,1,0,p,0,2,2,0,,,,,,,,,,,,,109.81756740700075,,,,,,,,,109.80585509700177,110.3181877590032,110.3181877590032,111.62073933200008,p,1.2995728280002368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
husband,pink,1,0,1,1,0,b,0,3,3,2,,,,,,,,,,,,,111.63466999200318,,,,,,,,,111.6214759430004,112.13495847499871,112.13495847499871,113.13700141200388,p,0.9990899289987283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
mother,pink,1,1,0,1,0,p,0,4,4,4,,,,,,,,,,,,,113.15211115800048,,,,,,,,,113.1378010949993,113.65191411299747,113.65191411299747,114.439171652004,p,0.7815940130021772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.43970603200432,114.45110640000348,114.95146374800242,120.58784391399968,space,6.122990308998851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
damsel,blue,0,0,1,1,0,b,,,,,0,0,0,11,,,,,,,,,120.62107813599869,,,,,,,,,,,,,,,,,,,,,,,120.609004568003,121.10148903200025,121.10148903200025,121.81983117399795,b,1,0.709077828003501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
wife,blue,0,0,1,1,0,b,,,,,0,1,1,7,,,,,,,,,121.83432414800336,,,,,,,,,,,,,,,,,,,,,,,121.82098779600346,122.3341780769988,122.3341780769988,123.02110870400065,b,1,0.6697067210043315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
aunt,blue,0,0,1,1,0,b,,,,,0,2,2,2,,,,,,,,,123.03736478299834,,,,,,,,,,,,,,,,,,,,,,,123.02211250500113,123.53439472299942,123.53439472299942,124.23633648599935,b,1,0.6899584610000602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
father,blue,0,1,0,1,0,b,,,,,0,3,3,9,,,,,,,,,124.25184356200043,,,,,,,,,,,,,,,,,,,,,,,124.23714134799957,124.75084615700325,124.75084615700325,125.31987784399826,b,1,0.5641017140005715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
lady,pink,0,1,0,1,0,p,,,,,0,4,4,16,,,,,,,,,125.33483772700129,,,,,,,,,,,,,,,,,,,,,,,125.32040967899957,125.83463259500422,125.83463259500422,126.53715224999905,p,1,0.6996116469963454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
uncle,blue,0,1,0,1,0,b,,,,,0,5,5,1,,,,,,,,,126.55178463800257,,,,,,,,,,,,,,,,,,,,,,,126.53783669399854,127.05181406900374,127.05181406900374,127.72888333300216,b,1,0.6499907930046902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
guy,blue,0,1,0,1,0,b,,,,,0,6,6,17,,,,,,,,,127.74396269600402,,,,,,,,,,,,,,,,,,,,,,,127.72981796000386,128.2851952830024,128.2851952830024,128.8531867519996,b,1,0.5599386489993776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
maid,blue,0,0,1,1,0,b,,,,,0,7,7,18,,,,,,,,,128.86873874499724,,,,,,,,,,,,,,,,,,,,,,,128.85368255199865,129.36757873600436,129.36757873600436,129.97096143700037,b,1,0.5974672599986661,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
daughter,pink,0,1,0,1,0,p,,,,,0,8,8,10,,,,,,,,,129.98755526899913,,,,,,,,,,,,,,,,,,,,,,,129.97177503700368,130.48479420199874,130.48479420199874,131.13881589400262,p,1,0.6354101709948736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
sister,pink,0,1,0,1,0,p,,,,,0,9,9,13,,,,,,,,,131.15201044899732,,,,,,,,,,,,,,,,,,,,,,,131.13981815399893,131.65141044899792,131.65141044899792,132.32105873600085,p,1,0.6519931410002755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
grandpa,pink,0,0,1,1,0,b,,,,,0,10,10,5,,,,,,,,,132.33727162700234,,,,,,,,,,,,,,,,,,,,,,,132.32208522099972,132.83398460600438,132.83398460600438,133.52362361200358,p,0,0.6847531780003919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
female,pink,0,1,0,1,0,p,,,,,0,11,11,0,,,,,,,,,133.53975913699833,,,,,,,,,,,,,,,,,,,,,,,133.52447866700095,134.03517300000385,134.03517300000385,134.6549794780003,p,1,0.6150312370009487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
nephew,pink,0,0,1,1,0,p,,,,,0,12,12,19,,,,,,,,,134.66954216600425,,,,,,,,,,,,,,,,,,,,,,,134.65577402000054,135.167209842999,135.167209842999,135.77202193300036,p,1,0.601368909003213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
handsome,blue,0,1,0,1,0,b,,,,,0,13,13,12,,,,,,,,,135.78779020399816,,,,,,,,,,,,,,,,,,,,,,,135.7728746770008,136.2857010200023,136.2857010200023,137.02868672199838,b,1,0.7399027369974647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
gentleman,pink,0,0,1,1,0,p,,,,,0,14,14,4,,,,,,,,,137.04322947299806,,,,,,,,,,,,,,,,,,,,,,,137.02942514199822,137.53520125299838,137.53520125299838,138.23547652100387,p,1,0.6886391640000511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
male,pink,0,0,1,1,0,p,,,,,0,15,15,8,,,,,,,,,138.2504881959976,,,,,,,,,,,,,,,,,,,,,,,138.23589028599963,138.75091525300377,138.75091525300377,139.43664759500098,p,1,0.678028843998618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
son,blue,0,1,0,1,0,b,,,,,0,16,16,6,,,,,,,,,139.4513754080035,,,,,,,,,,,,,,,,,,,,,,,139.43750891299715,139.95083048300148,139.95083048300148,140.62036418700154,b,1,0.6639557160015102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667974,001,2024-05-11_11h23.53.934,stroop experiment,2024.1.4,None,2024-05-11 11h24.01.044244 -0400,
