word,color,practice,congruent,incongruent,CN,GC,corrAns,CNpractice.thisRepN,CNpractice.thisTrialN,CNpractice.thisN,CNpractice.thisIndex,CNtrials.thisRepN,CNtrials.thisTrialN,CNtrials.thisN,CNtrials.thisIndex,GCpractice.thisRepN,GCpractice.thisTrialN,GCpractice.thisN,GCpractice.thisIndex,GCtrials.thisRepN,GCtrials.thisTrialN,GCtrials.thisN,GCtrials.thisIndex,thisRow.t,notes,CN_instructions1.started,key_resp_2.started,text.started,CN_instructions1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,CNpracticetrials.started,practicetask1.started,practicetaskkeys.started,CNpracticetrials.stopped,practicetaskkeys.keys,practicetaskkeys.rt,practicetaskkeys.duration,CN_instructions2.started,key_resp.started,instrText.started,CN_instructions2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,colornaming.started,target.started,response.started,colornaming.stopped,response.keys,response.corr,response.rt,response.duration,CNend.started,key_resp_3.started,text_2.started,CNend.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,GC_instructions1.started,key_resp_4.started,text_3.started,GC_instructions1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,GCpracticetrials.started,text_6.started,key_resp_8.started,GCpracticetrials.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,GC_instructions2.started,key_resp_6.started,text_5.started,GC_instructions2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,gendercategorization.started,trial_task_2_text.started,key_resp_5.started,gendercategorization.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.duration,final_message.started,text_4.started,key_resp_7.started,final_message.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.008439842000370845,0.018859299998439383,0.5122317669956828,30.390295575998607,space,30.344740057997114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
mother,pink,1,1,0,1,0,p,0,0,0,4,,,,,,,,,,,,,30.41569871200045,,,,,,,,,30.40244552399963,30.89948524400097,30.89948524400097,31.96763192799699,p,1.0553393959999084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
husband,pink,1,0,1,1,0,b,0,1,1,2,,,,,,,,,,,,,31.982324156997493,,,,,,,,,31.96866353799851,32.482346040000266,32.482346040000266,33.19969891599612,p,0.7095596930012107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
boy,blue,1,1,0,1,0,b,0,2,2,1,,,,,,,,,,,,,33.215399023996724,,,,,,,,,33.20022185799462,33.69888618299592,33.69888618299592,34.46797399500065,b,0.7603453599949717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
niece,blue,1,0,1,1,0,b,0,3,3,3,,,,,,,,,,,,,34.482300978997955,,,,,,,,,34.46869391499786,34.98274204300105,34.98274204300105,35.95045417599613,b,0.9574129479951807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
female,pink,1,1,0,1,0,p,0,4,4,0,,,,,,,,,,,,,35.9647732730009,,,,,,,,,35.95105740899453,36.46617194999999,36.46617194999999,37.050649714998144,p,0.5717670380035997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05100655699789,37.06534475099761,37.56561554599466,47.918517163001525,space,10.84695604800072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
female,pink,0,1,0,1,0,p,,,,,0,0,0,0,,,,,,,,,47.951641071995255,,,,,,,,,,,,,,,,,,,,,,,47.93910718600091,48.43215529599547,48.43215529599547,49.13409777599736,p,1,0.691879138998047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
gentleman,pink,0,0,1,1,0,p,,,,,0,1,1,4,,,,,,,,,49.14859211199655,,,,,,,,,,,,,,,,,,,,,,,49.13524148299621,49.64878097499604,49.64878097499604,50.151287510001566,p,1,0.4859719180021784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
uncle,blue,0,1,0,1,0,b,,,,,0,2,2,1,,,,,,,,,50.16775236000103,,,,,,,,,,,,,,,,,,,,,,,50.15228894499887,50.666509154994856,50.666509154994856,51.25135407199559,b,1,0.5787267050036462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873196,001,2024-05-11_11h36.34.873,stroop experiment,2024.1.4,None,2024-05-11 11h36.43.393738 -0400,
