participant,word,color,congruent,incongruent,CN,GC,corrAns,CN.rt,GC.rt,Participant ID,Gender,Age,Ethnicity,Dolls,STEM,Barbie,Leader,Assertiveness,Language
517189,grandma,blue,0.0,1.0,1.0,0.0,b,0.3244498249987373,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,uncle,blue,1.0,0.0,1.0,0.0,b,0.3189388119935756,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,male,pink,0.0,1.0,1.0,0.0,p,0.3671920589986257,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,daughter,pink,1.0,0.0,1.0,0.0,p,0.2719175900128903,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,aunt,blue,0.0,1.0,1.0,0.0,b,0.3258922690001782,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,sister,pink,1.0,0.0,1.0,0.0,p,0.2766821980039822,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,lady,pink,1.0,0.0,1.0,0.0,p,0.330860369009315,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,female,pink,1.0,0.0,1.0,0.0,p,0.381229810998775,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,guy,blue,1.0,0.0,1.0,0.0,b,0.2868058549938723,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,gentleman,pink,0.0,1.0,1.0,0.0,p,0.2297176239953842,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,nephew,pink,0.0,1.0,1.0,0.0,p,0.2567882400035159,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,dad,pink,0.0,1.0,1.0,0.0,p,0.2315403700049501,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,grandpa,pink,0.0,1.0,1.0,0.0,b,0.2810519769991515,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,girl,pink,1.0,0.0,1.0,0.0,p,0.3096414569881744,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,maid,blue,0.0,1.0,1.0,0.0,b,0.3821584760007681,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
517189,wife,blue,0.0,1.0,1.0,0.0,b,0.3566192629950819,,517189.0,Non-binary,21,Hispanic or Latino,Yes,Yes,Yes,Man,Yes,No
